pplus_low,pplus_high,pminus_low,pminus_high,ot_hybrid_weight
0.72,0.8,0.24,0.32,0.0
0.72,0.8,0.32,0.4,0.0
0.72,0.8,0.4,0.48,0.0
0.72,0.8,0.48,0.56,0.0
0.72,0.8,0.56,0.64,0.0
0.72,0.8,0.64,0.72,0.0
0.72,0.8,0.72,0.8,0.0
0.72,0.8,0.8,0.88,0.0
0.72,0.8,0.88,0.96,0.0
0.72,0.8,0.96,1.04,0.14047299563904636
0.72,0.8,1.04,1.12,0.6460297936312684
0.72,0.8,1.12,1.2,0.7770354719676222
0.72,0.8,1.2,1.28,0.8196389634350886
0.72,0.8,1.28,1.36,0.876953213976584
0.72,0.8,1.36,1.44,0.8581642066420662
0.72,0.8,1.44,1.52,0.8876334781046924
0.72,0.8,1.52,1.6,0.9161307327358986
0.72,0.8,1.6,1.68,0.9348889237506051
0.72,0.8,1.68,1.76,0.94880073800738
0.72,0.8,1.76,1.84,0.9453081903823392
0.72,0.8,1.84,1.92,0.9556727066666071
0.72,0.8,1.92,2.0,0.9573759838583605
0.72,0.8,2.0,2.08,0.9616254075162111
0.72,0.8,2.08,2.16,0.968716614341987
0.72,0.8,2.16,2.24,0.967309391403773
0.72,0.8,2.24,2.32,0.9693562935629358
0.72,0.8,2.32,2.4,0.9732092870490409
0.72,0.8,2.4,2.48,0.9731718523410914
0.72,0.8,2.48,2.56,0.9735219502930323
